subject,session,N_trials_remembered_raw,N_trials_forgotten_raw,N_trials_remembered_clean,N_trials_forgotten_clean
LTP063,17,138,118,125,104
LTP063,1,131,125,114,117
LTP063,6,138,118,113,101
LTP063,2,147,109,115,97
LTP063,14,148,108,143,105
LTP063,19,152,104,143,103
LTP063,5,148,108,117,93
LTP063,7,73,151,66,144
LTP063,0,109,147,94,125
LTP063,16,156,100,141,96
LTP063,4,190,66,177,64
LTP063,18,96,160,82,134
LTP063,15,124,132,116,125
LTP063,3,156,100,115,83
LTP064,15,248,8,215,6
LTP064,0,226,30,226,30
LTP064,7,193,31,150,20
LTP064,18,244,12,242,12
LTP064,16,243,13,216,13
LTP064,3,230,26,218,25
LTP064,4,208,48,204,47
LTP064,19,243,13,212,11
LTP064,6,246,10,234,10
LTP064,1,225,31,225,31
LTP064,14,228,28,120,12
LTP064,5,190,66,188,66
LTP064,2,180,76,167,71
LTP064,17,252,4,208,3
LTP065,5,129,127,111,118
LTP065,14,133,123,130,116
LTP065,19,139,117,124,99
LTP065,2,142,114,134,109
LTP065,6,132,124,126,113
LTP065,17,118,138,102,119
LTP065,1,136,120,136,115
LTP065,3,132,124,115,109
LTP065,18,139,117,131,109
LTP065,15,124,132,115,122
LTP065,4,110,146,100,112
LTP065,0,153,103,149,103
LTP065,16,143,113,129,109
LTP065,7,94,130,94,130
LTP066,17,177,79,148,52
LTP066,5,192,64,170,51
LTP066,2,179,77,171,71
LTP066,14,180,76,129,44
LTP066,6,176,80,168,70
LTP066,1,183,73,161,68
LTP066,19,133,123,108,80
LTP066,3,191,65,178,57
LTP066,4,188,68,162,42
LTP066,16,125,131,100,81
LTP066,18,111,145,109,142
LTP066,0,182,74,171,71
LTP066,7,144,80,132,73
LTP066,15,115,141,110,137
LTP067,4,201,55,159,44
LTP067,19,155,101,118,76
LTP067,14,183,73,130,45
LTP067,3,162,94,77,49
LTP067,7,141,83,108,49
LTP067,17,165,91,100,54
LTP067,0,188,68,184,67
LTP067,2,160,96,112,53
LTP067,15,174,82,108,54
LTP067,18,151,105,64,61
LTP067,5,184,72,92,40
LTP067,1,177,79,159,73
LTP067,16,151,105,113,76
LTP067,6,178,78,167,75
LTP068,1,145,111,100,69
LTP068,2,131,125,101,100
LTP068,0,137,119,95,77
LTP068,3,113,143,72,79
LTP068,4,112,144,52,76
LTP069,14,194,62,191,61
LTP069,4,132,124,90,78
LTP069,3,150,106,149,105
LTP069,19,188,68,178,67
LTP069,17,169,87,165,85
LTP069,7,120,104,116,99
LTP069,0,150,106,145,101
LTP069,18,189,67,182,66
LTP069,2,159,97,142,89
LTP069,5,161,95,158,95
LTP069,15,185,71,179,70
LTP069,1,151,105,149,105
LTP069,6,167,89,141,76
LTP069,16,139,117,130,112
LTP070,3,134,122,98,97
LTP070,4,127,129,101,99
LTP070,16,141,115,117,101
LTP070,18,146,110,141,106
LTP070,0,137,119,132,111
LTP070,7,106,118,75,87
LTP070,15,140,116,97,72
LTP070,17,133,123,79,70
LTP070,5,150,106,148,105
LTP070,2,147,109,118,87
LTP070,14,142,114,62,37
LTP070,6,149,107,113,92
LTP070,1,128,128,106,112
LTP070,19,128,128,55,66
LTP073,17,192,64,171,54
LTP073,7,172,52,172,52
LTP073,0,155,101,155,101
LTP073,14,173,83,158,76
LTP073,4,180,76,162,68
LTP073,3,163,93,161,92
LTP073,19,186,70,186,70
LTP073,1,194,62,192,62
LTP073,16,151,105,121,90
LTP073,6,188,68,172,65
LTP073,2,148,108,136,102
LTP073,18,207,49,203,49
LTP073,15,175,81,156,70
LTP073,5,203,53,197,53
LTP074,16,223,33,105,19
LTP074,2,202,54,181,52
LTP074,5,227,29,186,25
LTP074,15,235,21,164,15
LTP074,1,205,51,143,40
LTP074,6,246,10,205,7
LTP074,18,233,23,151,13
LTP074,4,221,35,186,29
LTP074,3,196,60,102,38
LTP074,17,241,15,185,10
LTP074,19,239,17,159,11
LTP074,7,197,27,162,23
LTP074,0,194,62,137,44
LTP074,14,226,30,109,15
LTP075,3,114,142,90,103
LTP075,4,125,131,111,117
LTP075,0,109,147,106,142
LTP075,7,98,126,89,112
LTP075,5,123,133,120,131
LTP075,2,119,137,118,135
LTP075,6,129,127,126,122
LTP075,1,125,131,121,119
LTP076,0,166,90,166,89
LTP076,16,237,19,236,19
LTP076,7,198,26,191,23
LTP076,3,249,7,249,7
LTP076,18,248,8,237,8
LTP076,4,235,21,234,21
LTP076,15,234,22,203,21
LTP076,6,234,22,224,22
LTP076,17,254,2,249,2
LTP076,1,164,92,160,88
LTP076,14,244,12,244,12
LTP076,5,243,13,243,12
LTP076,2,207,49,202,48
LTP076,19,250,6,240,6
LTP077,18,180,76,146,65
LTP077,0,156,100,147,96
LTP077,7,125,99,124,99
LTP077,15,169,87,126,68
LTP077,3,155,101,141,85
LTP077,4,164,92,153,89
LTP077,16,177,79,153,72
LTP077,14,185,71,161,58
LTP077,6,184,72,179,67
LTP077,1,157,99,135,87
LTP077,19,155,101,123,79
LTP077,17,179,77,140,60
LTP077,5,158,98,149,95
LTP077,2,161,95,153,87
LTP078,0,205,51,184,44
LTP079,15,207,49,193,45
LTP079,18,254,2,238,2
LTP079,3,190,66,190,66
LTP079,7,167,57,158,54
LTP079,16,252,4,234,4
LTP079,0,174,82,169,82
LTP079,2,167,89,165,88
LTP079,19,245,11,237,10
LTP079,14,234,22,214,22
LTP079,5,229,27,222,26
LTP079,1,171,85,123,68
LTP079,17,227,29,220,28
LTP079,6,208,48,193,46
LTP080,0,133,123,133,120
LTP080,2,195,61,193,60
LTP080,1,164,92,158,87
LTP081,1,150,106,150,106
LTP081,17,132,124,117,98
LTP081,6,167,89,145,79
LTP081,2,158,98,153,97
LTP081,14,139,117,127,96
LTP081,19,144,112,129,108
LTP081,5,162,94,140,90
LTP081,7,113,111,112,110
LTP081,0,138,118,130,112
LTP081,16,130,126,99,103
LTP081,18,166,90,152,87
LTP081,4,173,83,164,75
LTP081,3,158,98,158,98
LTP081,15,144,112,105,90
LTP082,19,160,96,157,96
LTP082,5,173,83,170,83
LTP082,14,134,122,129,111
LTP082,2,164,92,159,92
LTP082,6,173,83,171,82
LTP082,1,160,96,105,71
LTP082,17,167,89,153,83
LTP082,3,155,101,154,101
LTP082,15,167,89,160,86
LTP082,4,154,102,149,101
LTP082,18,165,91,163,90
LTP082,16,159,97,145,88
LTP082,0,157,99,155,98
LTP082,7,121,103,102,67
LTP083,0,132,124,132,124
LTP084,0,121,135,115,130
LTP084,7,80,144,69,121
LTP084,14,87,169,72,145
LTP084,4,150,106,140,97
LTP084,15,74,182,55,143
LTP084,6,101,155,86,129
LTP084,1,150,106,142,104
LTP084,16,59,197,42,159
LTP084,5,129,127,117,120
LTP084,2,127,129,124,125
LTP085,18,172,84,166,82
LTP085,2,152,104,149,104
LTP085,5,181,75,181,75
LTP085,15,169,87,168,84
LTP085,1,159,97,156,96
LTP085,6,169,87,164,83
LTP085,16,171,85,163,81
LTP085,4,179,77,179,77
LTP085,14,158,98,152,91
LTP085,19,177,79,166,74
LTP085,3,170,86,169,84
LTP085,7,102,122,97,110
LTP085,17,178,78,172,75
LTP085,0,153,103,150,102
LTP086,14,138,118,92,66
LTP086,4,159,97,121,80
LTP086,3,146,110,139,105
LTP086,19,130,126,107,99
LTP086,17,187,69,156,60
LTP086,7,105,119,100,88
LTP086,0,131,125,130,124
LTP086,2,128,128,109,103
LTP086,18,153,103,136,88
LTP086,15,122,134,103,112
LTP086,5,150,106,103,76
LTP086,1,141,115,132,106
LTP086,16,177,79,120,53
LTP086,6,145,111,110,90
LTP087,17,65,191,59,183
LTP087,0,111,145,110,134
LTP087,7,73,151,68,136
LTP087,14,70,186,48,124
LTP087,3,101,155,94,126
LTP087,4,108,148,108,145
LTP087,19,95,161,78,138
LTP087,6,119,137,113,119
LTP087,1,119,137,117,136
LTP087,16,75,181,71,166
LTP087,18,74,182,63,163
LTP087,5,158,98,149,87
LTP087,2,125,131,108,105
LTP087,15,57,199,53,180
LTP088,1,136,120,127,114
LTP088,15,127,129,120,122
LTP088,18,114,142,72,109
LTP088,6,150,106,146,95
LTP088,2,156,100,119,84
LTP088,16,185,71,149,65
LTP088,5,181,75,179,73
LTP088,7,169,55,152,53
LTP088,19,208,48,194,46
LTP088,14,193,63,170,60
LTP088,0,130,126,130,121
LTP088,4,223,33,172,26
LTP088,17,172,84,152,76
LTP088,3,201,55,180,49
LTP089,0,139,117,122,114
LTP089,7,49,175,27,123
LTP089,3,157,99,127,81
LTP089,4,151,105,134,98
LTP089,6,131,125,104,90
LTP089,1,153,103,147,99
LTP089,5,115,141,92,102
LTP089,2,138,118,119,105
LTP090,1,179,77,177,76
LTP090,14,173,83,151,69
LTP090,19,188,68,169,64
LTP090,6,185,71,182,70
LTP090,2,196,60,188,57
LTP090,17,171,85,159,72
LTP090,5,194,62,184,55
LTP090,18,189,67,175,58
LTP090,7,153,71,127,57
LTP090,0,159,97,159,97
LTP090,15,144,112,131,102
LTP090,4,167,89,166,88
LTP090,3,198,58,190,57
LTP090,16,165,91,156,82
LTP091,0,108,148,106,144
LTP091,15,158,98,79,50
LTP091,18,145,111,105,77
LTP091,7,134,90,125,81
LTP091,3,128,128,125,124
